veracity,statement,light_normalization
True,"""Since 1900, six (U.S. Supreme Court) justices have been confirmed during election years, including Justice Anthony Kennedy, who was confirmed in the final year of the Reagan Administration.""","""since 1900, six (u.s. supreme court) justices have been confirmed during election years, including justice anthony kennedy, who was confirmed in the final year of the reagan administration."""
False,"""This unit is the only one in the state that strives to implement the principles of Mother-Friendly care as outlined by the national Coalition for Improving Maternity Services Mother-Friendly Childbirth Initiative.""","""this unit is the only one in the state that strives to implement the principles of mother-friendly care as outlined by the national coalition for improving maternity services mother-friendly childbirth initiative."""
False,"""We have ten different tax brackets and if you’re making $9,000, you’re already in the top tax bracket.""","""we have ten different tax brackets and if youre making $9,000, youre already in the top tax bracket."""
True,"""According to the Centers for Disease Control and Prevention (CDC), about 120 Americans on average die from a drug overdose every day. Overall, drug overdose deaths now outnumber deaths from firearms.""","""according to the centers for disease control and prevention (cdc), about 120 americans on average die from a drug overdose every day. overall, drug overdose deaths now outnumber deaths from firearms."""
True,"""We do not have an overcrowding problem. As a matter of fact, Rhode Island has one of the lowest incarceration rates in the country.""","""we do not have an overcrowding problem. as a matter of fact, rhode island has one of the lowest incarceration rates in the country."""
True,"""One would have to go back more than a century to find a scenario where a president’s nominee for the Supreme Court was confirmed by the opposition party in the Senate when the vacancy occurred during an election year.""","""one would have to go back more than a century to find a scenario where a presidents nominee for the supreme court was confirmed by the opposition party in the senate when the vacancy occurred during an election year."""
False,"""Now we have ISIS coming over the (U.S.-Mexico) border.""","""now we have isis coming over the (u.s.-mexico) border."""
True,"""When the City and the Fairmount Park Conservancy invested $5 million in Hunting Park, crime went down 89 percent within a half mile radius of the park over the next three years.""","""when the city and the fairmount park conservancy invested $5 million in hunting park, crime went down 89 percent within a half mile radius of the park over the next three years."""
True,"""There’s no correlation between primary turnout and wins in the fall in the last 11 elections.""","""theres no correlation between primary turnout and wins in the fall in the last 11 elections."""
False,"""Statistics show 2 to 3 Texas women per week have major complications and 10 women per week seek help at an ER after an abortion.""","""statistics show 2 to 3 texas women per week have major complications and 10 women per week seek help at an er after an abortion."""
False,"""Every Republican Senate candidate has now announced whether or not they support the Senate taking up the Supreme Court vacancy…except for Congressman Heck.""","""every republican senate candidate has now announced whether or not they support the senate taking up the supreme court vacancy...except for congressman heck."""
